Specie	Common name	Class	Habitat	Biome	Diet	Conservation	Significance
Ailuropoda melanoleuca	Giant Panda	Mammalia	China	Forest	Herbivorous	VU	***
Aldabrachelys gigantea	Aldabra Giant Tortoise	Reptilia	Aldabra	Coral reef island	Herbivorous	VU	*
Aphanius iberus	Spanish Killifish	Actinopterygii	Spain	Mediterranean coast	Omnivorous	EN	n.s.
Bos gaurus	Gaur	Mammalia	South Southeast Asia	Jungle, forest, savanna, shrubland, steppe	Herbivorous	VU	n.s.
Cervus nippon	Sika Deer	Mammalia	Eastern Asia	Forest, steppe, wetland	Herbivorous	LC	**
Chelonia mydas	Green Turtle	Reptilia	Ocean	Tropical sea	Herbivorous	EN	n.s.
Elaphurus davidianus	P̬re David's Deer	Mammalia	China	Steppe, wetland	Herbivorous	EW	n.s.
Equus kiang	Kiang	Mammalia	Tibetan plateau	Steppe, desert, shrubland	Herbivorous	LC	***
Gorilla gorilla	Western Gorilla	Mammalia	Western Africa	Jungle	Herbivorous	CR	***
Lasiorhinus latifrons	Southern Hairy-nosed Wombat	Mammalia	Southern Australia	Steppe, forest, savanna	Herbivorous	NT	n.s.
Moschus chrysogaster	Himalayan Musk Deer	Mammalia	Himmalaya	Forest, steppe, shrubland	Herbivorous	EN	***
Myrmecophaga tridactyla	Giant Anteater	Mammalia	Central and Southern America	Jungle, savanna, shrubland, steppe	Carnivorous	VU	n.s.
Papio anubis	Olive Baboon	Mammalia	Sub-Saharan Africa	Forest, savanna, shrubland, steppe	Omnivorous	LC	n.s.
Panthera tigris	Tiger	Mammalia	Asia	JUngle, forest, savanna, shrubland, steppe	Carnivorous	RE	**
Pan troglodytes	Chimpanzee	Mammalia	Central and Western Africa	Jungle, savanna	Omnivorous	EN	n.s.
Peromyscus leucopus	-	Mammalia	Central and Eastern North America	Forest, shrubland, steppe, desert, urban area	Omnivorous	LC	n.s.
Peromyscus maniculatus	Deer Mouse	Mammalia	North America	Forest, shrubland, steppe, wetland, desert	Omnivorous	LC	***
Pygathrix nemaeus	Red-shanked Douc Langur	Mammalia	Southeast Asia	Jungle	Herbivorous	CR	n.s.
Rana dybowskii	-	Amphibia	Amur river	Wetland, forest, shrubland	Carnivorous	LC	n.s.
Rhinopithecus brelichi	Grey Snub-nosed Monkey	Mammalia	China	Forest	Herbivorous	CR	n.s.
Sarcophilus harrisii	Tasmanian Devil	Mammalia	Tasmania	Forest, shrubland, steppe	Carnivorous	EN	*
Shinisaurus crocodilurus	Chinese Crocodile Lizard	Reptilia	China, Vietnam	Wetland, jungle, forest	Carnivorous	EN	n.s.
Tursiops truncatus	Common Bottlenose Dolphin	Mammalia	Ocean	Tropical sea, temperate sea	Carnivorous	LC	**
Valencia hispanica	-	Actinopterygii	Spain	Mediterranean coast	Carnivorous	CR	n.s.
